STATION CODE,LOCATIONS,STATE,LATITUDE,LONGITUDE,YEAR,mean_temp,Qi_temp,WiQi_temp,mean_ph,Qi_ph,WiQi_ph,mean_conductivity,Qi_conductivity,WiQi_conductivity,mean_bod,Qi_bod,WiQi_bod,mean_nitratenitrite,Qi_nitratenitrite,WiQi_nitratenitrite,mean_fecalcoliform,Qi_fecalcoliform,WiQi_fecalcoliform,WQI
2253,GROUND WATER FROM NALBARI,ASSAM,26.444619,91.441053,2014,25.5,102,10.2,6.9,-6.666666667,-0.733333333,601,240.4,0.9616,1.1,18.33333333,2.016666667,5.5,2.75,0.275,0,0,0,12.71993333
2254,GROUND WATER FROM BARPETA ROAD(RLY STATION),ASSAM,26.502036,90.964722,2014,28.6,114.4,11.44,6.9,-6.666666667,-0.733333333,1038,415.2,1.6608,0.3,5,0.55,0.2,0.1,0.01,465,2325,372,384.9274667
2255,"GROUND WATER NEAR BPRL, DHALIGAON",ASSAM,26.518714,90.530509,2014,29.3,117.2,11.72,6.9,-6.666666667,-0.733333333,747,298.8,1.1952,0.8,13.33333333,1.466666667,6.1,3.05,0.305,0,0,0,13.95353333
2256,GROUND WATER FROM KOKRAJHAR DISTRICT (HS SCHOOL ),ASSAM,26.403933,90.262958,2014,28.5,114,11.4,6.5,-33.33333333,-3.666666667,515,206,0.824,0.6,10,1.1,4,2,0.2,46,230,36.8,46.65733333
2257,GROUND WATER FROM DHUBRI DISTRICT (COLLEGE NAGAR ),ASSAM,26.028086,89.970847,2014,29.1,116.4,11.64,7.2,13.33333333,1.466666667,883,353.2,1.4128,0.9,15,1.65,0.3,0.15,0.015,1150,5750,920,936.1844667
2258,GROUND WATER FROM GOALPARA DIST. (GOALPARA COLLEGE ),ASSAM,26.170714,90.626658,2014,30,120,12,6.6,-26.66666667,-2.933333333,539,215.6,0.8624,0.8,13.33333333,1.466666667,3,1.5,0.15,0,0,0,11.54573333
2259,GROUND WATER FROM DIPHU (GOVT. COLLEGE),ASSAM,25.8425,93.425691,2014,28.5,114,11.4,7.4,26.66666667,2.933333333,1515,606,2.424,1.8,30,3.3,1.6,0.8,0.08,0,0,0,20.13733333
2261,GROUND WATER FROM HAFLONG,ASSAM,25.16331,93.012824,2014,16,64,6.4,7.1,6.666666667,0.733333333,566,226.4,0.9056,2.2,36.66666667,4.033333333,0.2,0.1,0.01,0,0,0,12.08226667
2262,GROUND WATER FROM KARIMGANJ (COLLEGE),ASSAM,24.866668,92.367028,2014,12,48,4.8,6.5,-33.33333333,-3.666666667,330,132,0.528,0.9,15,1.65,4.7,2.35,0.235,0,0,0,3.546333333
2263,GROUND WATER FROM HIALAKANDI (NEAR ASTC BUS STAND ),ASSAM,24.676497,92.570576,2014,16.5,66,6.6,6.6,-26.66666667,-2.933333333,363,145.2,0.5808,0.5,8.333333333,0.916666667,1.1,0.55,0.055,0,0,0,5.219133333
2264,GROUND WATER IN PANCHGRAM MARKET NEAR CACHAR PAPER MILL,ASSAM,24.852796,92.592709,2014,17.5,70,7,6.5,-33.33333333,-3.666666667,662,264.8,1.0592,3.6,60,6.6,2.3,1.15,0.115,455,2275,364,375.1075333
2054,RAMHLUM (NORTHERN PART),MIZORAM,23.747536,92.726354,2014,19.6,78.4,7.84,7.1,6.666666667,0.733333333,238,95.2,0.3808,1.2,20,2.2,0.1,0.05,0.005,9,45,7.2,18.35913333
2055,MISSION VENGTHLANG (SOUTHERN PART),MIZORAM,23.708669,92.719416,2014,19.3,77.2,7.72,7,0,0,406,162.4,0.6496,1,16.66666667,1.833333333,0.1,0.05,0.005,55,275,44,54.20793333
